2024/05/20 13:48:09 [error] 12032#15084: *3583 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=25&type=error%2Cupdate&status=unactioned&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10009", host: "localhost:10010", referrer: "http://localhost:10010/wp-admin/admin.php?page=wc-admin&tab=themes&path=%2Fextensions"
2024/05/20 13:48:09 [error] 12032#15084: *3584 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_admin_transient_notices_queue%2Cwoocommerce_admin_install_timestamp&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "localhost:10010", referrer: "http://localhost:10010/wp-admin/admin.php?page=wc-admin&tab=themes&path=%2Fextensions"
2024/05/20 13:48:09 [error] 12032#15084: *3584 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-json/wc-admin/options?options=woocommerce_admin_transient_notices_queue%2Cwoocommerce_admin_install_timestamp&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10010", referrer: "http://localhost:10010/wp-admin/admin.php?page=wc-admin&tab=themes&path=%2Fextensions"
2024/05/20 13:48:09 [error] 12032#15084: *3587 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/themes?context=edit&status=active&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "localhost:10010", referrer: "http://localhost:10010/wp-admin/admin.php?page=wc-admin&tab=themes&path=%2Fextensions"
2024/05/20 13:48:09 [error] 12032#15084: *3587 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-json/wp/v2/themes?context=edit&status=active&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10010", referrer: "http://localhost:10010/wp-admin/admin.php?page=wc-admin&tab=themes&path=%2Fextensions"
2024/05/20 13:48:09 [error] 12032#15084: *3583 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-json/wc-analytics/admin/notes?page=1&per_page=25&type=error%2Cupdate&status=unactioned&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10008", host: "localhost:10010", referrer: "http://localhost:10010/wp-admin/admin.php?page=wc-admin&tab=themes&path=%2Fextensions"
2024/05/20 13:48:13 [error] 12032#15084: *3600 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-admin/edit.php?post_type=page HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10010", referrer: "http://localhost:10010/wp-admin/admin.php?page=wc-admin&tab=themes&path=%2Fextensions"
2024/05/20 13:48:14 [error] 12032#15084: *3600 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-admin/admin.php?page=wc-admin&tab=themes&path=%2Fextensions HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10010", referrer: "http://localhost:10010/wp-admin/admin.php?page=wc-admin&path=%2Fcustomize-store"
2024/05/20 13:48:16 [error] 12032#15084: *3600 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-admin/admin.php?page=wc-admin&path=%2Fcustomize-store HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10010", referrer: "http://localhost:10010/wp-admin/admin.php?page=wc-settings&tab=products"
2024/05/20 13:48:17 [error] 12032#15084: *3600 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-admin/admin.php?page=wc-admin&path=%2Fcustomize-store HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10010", referrer: "http://localhost:10010/wp-admin/admin.php?page=wc-settings&tab=products"
2024/05/20 13:48:17 [error] 12032#15084: *3600 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /favicon.ico HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10010", referrer: "http://localhost:10010/wp-admin/admin.php?page=wc-admin&path=%2Fcustomize-store"
